path,in_scope,reverted_only,notes
src/test/java/org/cswteams/ms3/ai/orchestration/AiScheduleGenerationOrchestrationServiceSelectionPersistenceTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiScheduleGenerationOrchestrationServiceTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiScheduleSelectionPersistenceIntegrationTest.java,no,yes,reverted_only_no_net_change
src/test/java/org/cswteams/ms3/ai/priority/PriorityScaleConfigTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/protocol/AiScheduleSemanticValidatorTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/protocol/AiScheduleWellKnownJsonValidationTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/protocol/converter/AiScheduleConverterServiceTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/control/logout/TestJwtBlacklistService.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/control/logout/TestLogoutController.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/control/logout/TestLogoutIT.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/control/scheduleFeedback/ScheduleFeedbackControllerTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/control/scheduler/ScheduleBuilderConstraintSeverityTest.java,no,yes,reverted_only_no_net_change
src/test/java/org/cswteams/ms3/control/toon/ToonValidatorTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/entity/DoctorUffaPriorityTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/entity/constraint/ConstraintMaxOrePeriodoTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/filters/JwtRequestFiltersTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/rest/ComparisonRestEndpointIT.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/rest/LogoutRestEndpointIT.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/rest/LogoutRestEndpointTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/rest/ScheduleFeedbackRestEndpointTest.java,yes,no,code_change_in_scope
